GMLID,LocalId,Namespace,Pollutant,Zone,ObjectiveType,ReportingMetric,ProtectionTarget,ExceedanceAttainment,ClassificationDate,ClassificationReport
ARE-NL0100_05018_TV_aMean_2013,ARE-NL0100_05018_TV_aMean_2013,NL.RIVM.AQ,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5018,NL.RIVM.AQ/ZON-NL0100,http://dd.eionet.europa.eu/vocabulary/aq/objectivetype/TV,http://dd.eionet.europa.eu/vocabulary/aq/reportingmetric/aMean,http://dd.eionet.europa.eu/vocabulary/aq/protectiontarget/H,http://dd.eionet.europa.eu/vocabulary/aq/assessmentthresholdexceedance/belowLAT,2013,
ARE-NL0100_05029_TV_aMean_2013,ARE-NL0100_05029_TV_aMean_2013,NL.RIVM.AQ,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5029,NL.RIVM.AQ/ZON-NL0100,http://dd.eionet.europa.eu/vocabulary/aq/objectivetype/TV,http://dd.eionet.europa.eu/vocabulary/aq/reportingmetric/aMean,http://dd.eionet.europa.eu/vocabulary/aq/protectiontarget/H,http://dd.eionet.europa.eu/vocabulary/aq/assessmentthresholdexceedance/belowLAT,2013,
ARE-NL0100_00020_LV_aMean_2013,ARE-NL0100_00020_LV_aMean_2013,NL.RIVM.AQ,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/20,NL.RIVM.AQ/ZON-NL0100,http://dd.eionet.europa.eu/vocabulary/aq/objectivetype/LV,http://dd.eionet.europa.eu/vocabulary/aq/reportingmetric/aMean,http://dd.eionet.europa.eu/vocabulary/aq/protectiontarget/H,http://dd.eionet.europa.eu/vocabulary/aq/assessmentthresholdexceedance/belowLAT,2013,Grootschalige_concentratie_en_depositiekaarten_Nederland_Rapportage_2014
ARE-NL0100_05014_TV_aMean_2013,ARE-NL0100_05014_TV_aMean_2013,NL.RIVM.AQ,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5014,NL.RIVM.AQ/ZON-NL0100,http://dd.eionet.europa.eu/vocabulary/aq/objectivetype/TV,http://dd.eionet.europa.eu/vocabulary/aq/reportingmetric/aMean,http://dd.eionet.europa.eu/vocabulary/aq/protectiontarget/H,http://dd.eionet.europa.eu/vocabulary/aq/assessmentthresholdexceedance/belowLAT,2013,
ARE-NL0100_00010_LV_daysAbove_2013,ARE-NL0100_00010_LV_daysAbove_2013,NL.RIVM.AQ,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/10,NL.RIVM.AQ/ZON-NL0100,http://dd.eionet.europa.eu/vocabulary/aq/objectivetype/LV,http://dd.eionet.europa.eu/vocabulary/aq/reportingmetric/daysAbove,http://dd.eionet.europa.eu/vocabulary/aq/protectiontarget/H,http://dd.eionet.europa.eu/vocabulary/aq/assessmentthresholdexceedance/belowLAT,2013,Grootschalige_concentratie_en_depositiekaarten_Nederland_Rapportage_2014
ARE-NL0100_05015_TV_aMean_2013,ARE-NL0100_05015_TV_aMean_2013,NL.RIVM.AQ,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5015,NL.RIVM.AQ/ZON-NL0100,http://dd.eionet.europa.eu/vocabulary/aq/objectivetype/TV,http://dd.eionet.europa.eu/vocabulary/aq/reportingmetric/aMean,http://dd.eionet.europa.eu/vocabulary/aq/protectiontarget/H,http://dd.eionet.europa.eu/vocabulary/aq/assessmentthresholdexceedance/belowLAT,2013,
ARE-NL0100_00008_LV_aMean_2013,ARE-NL0100_00008_LV_aMean_2013,NL.RIVM.AQ,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8,NL.RIVM.AQ/ZON-NL0100,http://dd.eionet.europa.eu/vocabulary/aq/objectivetype/LV,http://dd.eionet.europa.eu/vocabulary/aq/reportingmetric/aMean,http://dd.eionet.europa.eu/vocabulary/aq/protectiontarget/H,http://dd.eionet.europa.eu/vocabulary/aq/assessmentthresholdexceedance/aboveUAT,2013,
ARE-NL0100_00008_LV_hrsAbove_2013,ARE-NL0100_00008_LV_hrsAbove_2013,NL.RIVM.AQ,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8,NL.RIVM.AQ/ZON-NL0100,http://dd.eionet.europa.eu/vocabulary/aq/objectivetype/LV,http://dd.eionet.europa.eu/vocabulary/aq/reportingmetric/hrsAbove,http://dd.eionet.europa.eu/vocabulary/aq/protectiontarget/H,http://dd.eionet.europa.eu/vocabulary/aq/assessmentthresholdexceedance/belowLAT,2013,
ARE-NL0100_00009_CL_aMean_2013,ARE-NL0100_00009_CL_aMean_2013,NL.RIVM.AQ,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/9,NL.RIVM.AQ/ZON-NL0100,http://dd.eionet.europa.eu/vocabulary/aq/objectivetype/CL,http://dd.eionet.europa.eu/vocabulary/aq/reportingmetric/aMean,http://dd.eionet.europa.eu/vocabulary/aq/protectiontarget/V,http://dd.eionet.europa.eu/vocabulary/aq/assessmentthresholdexceedance/belowLAT,2013,
ARE-NL0100_00007_LTO_daysAbove_2013,ARE-NL0100_00007_LTO_daysAbove_2013,NL.RIVM.AQ,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7,NL.RIVM.AQ/ZON-NL0100,http://dd.eionet.europa.eu/vocabulary/aq/objectivetype/LTO,http://dd.eionet.europa.eu/vocabulary/aq/reportingmetric/daysAbove,http://dd.eionet.europa.eu/vocabulary/aq/protectiontarget/H,http://dd.eionet.europa.eu/vocabulary/aq/assessmentthresholdexceedance/aboveLTO,2013,
