GMLID,LocalId,Namespace,Version,Name,AssessmentType,Zone,Broader,BelongsTo,OperationalActivityBegin,OperationalActivityEnd,RelevantEmissions,FeatureOfInterest,ObservingBegin,ObservingEnd,ObservedProperty,UsedAQD,ObjectiveType,ReportingMetric,ProtectionTarget,ReportingDB,ReportingDBOther,SRSName,Pos,InvolvedIn
SPO-NL00807_00005_100,SPO-NL00807_00005_100,NL.RIVM.AQ,,,,NL.RIVM.AQ/NL0100,NL.RIVM.AQ/STA-NL00807,NL.RIVM.AQ/NET-LML,2003-08-27T00:00:00+01:00,,http://dd.eionet.europa.eu/vocabulary/aq/stationclassification/background,NL.RIVM.AQ/SPO_F-NL00807_00005_100_100,2003-08-27T00:00:00+01:00,2007-10-25T00:00:00+01:00,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,true,http://dd.eionet.europa.eu/vocabulary/aq/objectivetype/LV,http://dd.eionet.europa.eu/vocabulary/aq/reportingmetric/aMean,http://dd.eionet.europa.eu/vocabulary/aq/protectiontarget/H,,,,,
SPO-NL00807_00007_101,SPO-NL00807_00007_101,NL.RIVM.AQ,,,,NL.RIVM.AQ/NL0100,NL.RIVM.AQ/STA-NL00807,NL.RIVM.AQ/NET-LML,1990-12-12T00:00:00+01:00,,http://dd.eionet.europa.eu/vocabulary/aq/stationclassification/background,NL.RIVM.AQ/SPO_F-NL00807_00007_101_101,1990-12-12T00:00:00+01:00,2011-03-03T00:00:00+01:00,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7,true,http://dd.eionet.europa.eu/vocabulary/aq/objectivetype/LTO,http://dd.eionet.europa.eu/vocabulary/aq/reportingmetric/AOT40c,http://dd.eionet.europa.eu/vocabulary/aq/protectiontarget/V,,,,,
SPO-NL00807_00008_101,SPO-NL00807_00008_101,NL.RIVM.AQ,,,,NL.RIVM.AQ/NL0100,NL.RIVM.AQ/STA-NL00807,NL.RIVM.AQ/NET-LML,1992-10-02T00:00:00+01:00,,http://dd.eionet.europa.eu/vocabulary/aq/stationclassification/background,NL.RIVM.AQ/SPO_F-NL00807_00008_101_101,1992-10-02T00:00:00+01:00,2007-02-22T00:00:00+01:00,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8,true,http://dd.eionet.europa.eu/vocabulary/aq/objectivetype/MO,http://dd.eionet.europa.eu/vocabulary/aq/reportingmetric/aMean,http://dd.eionet.europa.eu/vocabulary/aq/protectiontarget/NA,,,,,
SPO-NL00807_00009_101,SPO-NL00807_00009_101,NL.RIVM.AQ,,,,,NL.RIVM.AQ/STA-NL00807,NL.RIVM.AQ/NET-LML,1992-10-02T00:00:00+01:00,,http://dd.eionet.europa.eu/vocabulary/aq/stationclassification/background,NL.RIVM.AQ/SPO_F-NL00807_00009_101_101,1992-10-02T00:00:00+01:00,2007-02-22T00:00:00+01:00,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/9,true,http://dd.eionet.europa.eu/vocabulary/aq/objectivetype/MO,http://dd.eionet.europa.eu/vocabulary/aq/reportingmetric/aMean,http://dd.eionet.europa.eu/vocabulary/aq/protectiontarget/NA,,,,,
SPO-NL00807_00038_101,SPO-NL00807_00038_101,NL.RIVM.AQ,,,,,NL.RIVM.AQ/STA-NL00807,NL.RIVM.AQ/NET-LML,1992-10-02T00:00:00+01:00,,http://dd.eionet.europa.eu/vocabulary/aq/stationclassification/background,NL.RIVM.AQ/SPO_F-NL00807_00038_101_101,1992-10-02T00:00:00+01:00,2007-02-22T00:00:00+01:00,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/38,false,,,,,,,,
SPO-NL00818_00005_100,SPO-NL00818_00005_100,NL.RIVM.AQ,,,,NL.RIVM.AQ/NL0100,NL.RIVM.AQ/STA-NL00818,NL.RIVM.AQ/NET-LML,2003-06-16T00:00:00+01:00,,http://dd.eionet.europa.eu/vocabulary/aq/stationclassification/background,NL.RIVM.AQ/SPO_F-NL00818_00005_100_100,2003-06-16T00:00:00+01:00,2007-05-25T00:00:00+01:00,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,true,http://dd.eionet.europa.eu/vocabulary/aq/objectivetype/LV,http://dd.eionet.europa.eu/vocabulary/aq/reportingmetric/aMean,http://dd.eionet.europa.eu/vocabulary/aq/protectiontarget/H,,,,,
SPO-NL00818_00007_100,SPO-NL00818_00007_100,NL.RIVM.AQ,,,,NL.RIVM.AQ/NL0100,NL.RIVM.AQ/STA-NL00818,NL.RIVM.AQ/NET-LML,1992-05-27T00:00:00+01:00,,http://dd.eionet.europa.eu/vocabulary/aq/stationclassification/background,NL.RIVM.AQ/SPO_F-NL00818_00007_100_100,1992-05-27T00:00:00+01:00,2011-03-03T00:00:00+01:00,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7,true,http://dd.eionet.europa.eu/vocabulary/aq/objectivetype/LTO,http://dd.eionet.europa.eu/vocabulary/aq/reportingmetric/AOT40c,http://dd.eionet.europa.eu/vocabulary/aq/protectiontarget/V,,,,,
SPO-NL00818_00008_100,SPO-NL00818_00008_100,NL.RIVM.AQ,,,,NL.RIVM.AQ/NL0100,NL.RIVM.AQ/STA-NL00818,NL.RIVM.AQ/NET-LML,1992-10-02T00:00:00+01:00,,http://dd.eionet.europa.eu/vocabulary/aq/stationclassification/background,NL.RIVM.AQ/SPO_F-NL00818_00008_100_100,1992-10-02T00:00:00+01:00,2007-06-05T00:00:00+01:00,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8,true,http://dd.eionet.europa.eu/vocabulary/aq/objectivetype/MO,http://dd.eionet.europa.eu/vocabulary/aq/reportingmetric/aMean,http://dd.eionet.europa.eu/vocabulary/aq/protectiontarget/NA,,,,,
SPO-NL00818_00009_100,SPO-NL00818_00009_100,NL.RIVM.AQ,,,,,NL.RIVM.AQ/STA-NL00818,NL.RIVM.AQ/NET-LML,1992-10-02T00:00:00+01:00,,http://dd.eionet.europa.eu/vocabulary/aq/stationclassification/background,NL.RIVM.AQ/SPO_F-NL00818_00009_100_100,1992-10-02T00:00:00+01:00,2007-06-05T00:00:00+01:00,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/9,true,http://dd.eionet.europa.eu/vocabulary/aq/objectivetype/MO,http://dd.eionet.europa.eu/vocabulary/aq/reportingmetric/aMean,http://dd.eionet.europa.eu/vocabulary/aq/protectiontarget/NA,,,,,
SPO-NL00818_00038_100,SPO-NL00818_00038_100,NL.RIVM.AQ,,,,,NL.RIVM.AQ/STA-NL00818,NL.RIVM.AQ/NET-LML,1992-10-02T00:00:00+01:00,,http://dd.eionet.europa.eu/vocabulary/aq/stationclassification/background,NL.RIVM.AQ/SPO_F-NL00818_00038_100_100,1992-10-02T00:00:00+01:00,2007-06-05T00:00:00+01:00,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/38,false,,,,,,,,
