"URI","Label","Definition","Notation","StartDate","EndDate","hasProtectionTarget","hasProtectionTarget","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","recommendedUnit","recommendedUnit","skos:altLabel","skos:altLabel@bg","skos:scopeNote","skos:scopeNote"
"http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1","Sulphur dioxide (air)","SO2 - recommended unit: µg/m3","SO2","2013-09-20","","http://dd.eionet.europa.eu/vocabulary/aq/protectiontarget/H","http://dd.eionet.europa.eu/vocabulary/aq/protectiontarget/V","http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/API","http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/API100","http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/API100A","http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/API100E","http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/API101","http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/API101A","http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/APIT100","http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/dasibi4108","http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/enviroAF20M","http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/enviroAF21M","http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/enviroAF22M","http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/enviroSANOA","http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/horibaAPSA300","http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/horibaAPSA350","http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/horibaAPSA350E","http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/horibaAPSA360","http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/horibaAPSA360A","http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/horibaAPSA360E","http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/horibaAPSA370","http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/meloySA700","http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/ML2050","http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/ML8850","http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/ML8850M","http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/ML8850S","http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/ML9850","http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/ML9850B","http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/philipsK50033","http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/philipsK50206",,,,,,,,,,,,,,,,,,"http://dd.eionet.europa.eu/vocabulary/uom/concentration/ug.m-3",,,"SO2","2011/850/EU",
"http://dd.eionet.europa.eu/vocabulary/aq/pollutant/10","Carbon monoxide (air)","CO - recommended unit: mg/m3","CO","2013-09-20","","http://dd.eionet.europa.eu/vocabulary/aq/protectiontarget/H",,"http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/API300","http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/API300A","http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/API300E","http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/APIT300","http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/dasibi3008","http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/enviroCO10M","http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/enviroCO11M","http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/enviroCO12M","http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/horibaAPMA300","http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/horibaAPMA300E","http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/horibaAPMA350","http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/horibaAPMA350E","http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/horibaAPMA360","http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/horibaAPMA360CE","http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/horibaAPMA360E","http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/horibaAPMA370","http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/ML2030","http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/ML8830","http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/ML8831","http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/ML9830","http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/ML9830B","http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/ML9832","http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/philipsK50093","http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/philipsK50109","http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/thermo43","http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/thermo43a","http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/thermo43b","http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/thermo43c","http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/thermo43CTL","http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/thermo43h","http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/thermo43i","http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/thermo43i-TLE","http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/thermo43s","http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/thermo43w","http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/thermo48","http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/thermo48c","http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/thermo48i","http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/thermo48i-TLE","http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/thermo48w",,,,,,,"http://dd.eionet.europa.eu/vocabulary/uom/concentration/mg.m-3",,,"CO","2011/850/EU",
"http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1012","Lead in PM2.5 (aerosol)","Pb in PM2.5 - recommended unit: µg/m3","Pb in PM2.5","2013-09-20","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"http://dd.eionet.europa.eu/vocabulary/uom/concentration/ug.m-3",,"Pb in PM2.5",,"Reciprocal exchange",
"http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1013","Mercury in PM2.5 (aerosol)","Hg in PM2.5 - recommended unit: ng/m3","Hg in PM2.5","2013-09-20","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"http://dd.eionet.europa.eu/vocabulary/uom/concentration/ng.m-3",,"Hg in PM2.5",,,
"http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1014","Cadmium in PM2.5 (aerosol)","Cd in PM2.5 - recommended unit: ng/m3","Cd in PM2.5","2013-09-20","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"http://dd.eionet.europa.eu/vocabulary/uom/concentration/ng.m-3",,"Cd in PM2.5",,,
"http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1015","Nickel in PM2.5 (aerosol)","Ni in PM2.5 - recommended unit: ng/m3","Ni in PM2.5","2013-09-20","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"http://dd.eionet.europa.eu/vocabulary/uom/concentration/ng.m-3",,"Ni in PM2.5",,,
"http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1016","Chromium in PM2.5 (aerosol)","Cr in PM2.5 - recommended unit: ng/m3","Cr in PM2.5","2013-09-20","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"http://dd.eionet.europa.eu/vocabulary/uom/concentration/ng.m-3",,"Cr in PM2.5",,,
"http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1017","Manganese in PM2.5 (aerosol)","Mn in PM2.5 - recommended unit: ng/m3","Mn in PM2.5","2013-09-20","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"http://dd.eionet.europa.eu/vocabulary/uom/concentration/ng.m-3",,"Mn in PM2.5",,,
"http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1018","Arsenic in PM2.5 (aerosol)","As in PM2.5 - recommended unit: µg/m3","As in PM2.5","2013-09-20","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"http://dd.eionet.europa.eu/vocabulary/uom/concentration/ug.m-3",,"As in PM2.5",,,
"http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1029","Benzo(a)pyrene in PM2.5 (aerosol)","BaP in PM2.5 - recommended unit: ng/m3","BaP in PM2.5","2013-09-20","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"http://dd.eionet.europa.eu/vocabulary/uom/concentration/ng.m-3",,"BaP in PM2.5",,"Reciprocal exchange",
