name,WMO,type,time,lat,lon,height,obs_pres,obs_wind,obs_temp,obs_hum,obs_prec,obs_rad,obs_vis,obs_clouds,obs_presweather,obs_snowdepth,obs_soiltemp,iso_dataset,product,projection
"D15-FA-1", "06201", "Platform/AWS", 14285, 54.325666666667, 2.93575, 42.7, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, "" ;, "" ;, "" ;
"P11-B", "06203", "Platform/AWS", 7305, 52.36, 3.3416666666667, 41.84, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0,,,
"K14-FA-1C", "06204", "Platform/AWS", 2550, 53.269444444444, 3.6277777777778, 41.8, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0,,,
"A12-CPP", "06205", "Platform/AWS", 14285, 55.399166666667, 3.8102777777778, 48.35, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0,,,
"F16-A", "06206","Platform/AWS", 3645,54.116666666667,4.0122222222222, 43.4, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0,,,
"L9-FF-1", "06207", "Platform/AWS", 13479, 53.614444444444, 4.9602777777778, 44, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0,,,
"AWG-1", "06208", "Platform/AWS", -8616, 53.491666666667, 5.9416666666667, 40.5, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0,,,
"IJMOND WP","06209", "Wind mast", 14285, 52.463735018795, 4.5173637041727, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0,,,
"VALKENBURG AWS", "06210", "AWS", -8401,52.170248689194,4.4294613573587, -0.2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0,,,
"J6-A", "06211","Platform/AWS", -15713, 53.824130555556, 2.9452777777778, 45.7, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0,,,
"HOORN-A", "06212", "Platform/AWS",7305, 52.918055555556, 4.1502777777778, 50.9, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0,,,
"IJMUIDEN WP", "06225", "Wind mast", 11351, 52.462242867998, 4.5549006792363, 4, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0,,,
"DE KOOIJ VK", "06235", "Aerodrome/AWS", -5121,52.926865008825,4.7811453228565,1.22, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0,,,
"F3-FB-1", "06239","Platform/AWS", 13479, 54.853888888889, 4.6961111111111, 50.6, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0,,,
"AMSTERDAM/SCHIPHOL AP", "06240", "Aerodrome/AWS", 7486, 52.315408447486, 4.7902228464686, -3.35, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0,,,
"VLIELAND","06242", "AWS", -5023, 53.240026656696, 4.9207907082729, 10.79, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0,,,
"WIJDENES WP", "06248", "Wind mast", 8954,52.632430667762,5.1734739738872, 0.8, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0,,,
