GMLID,LocalId,Namespace,Version,NatlStationCode,Name,Municipality,EUStationCode,ActivityBegin,ActivityEnd,Lat,Lon,SRSName,Altitude,AltitudeUnit,AreaClassification,BelongsTo
STA-NL00807,STA-NL00807,NL.RIVM.AQ,,807,Hellendoorn-Luttenbergerweg,Hellendoorn,NL00807,1976-04-02 00:00:00+01:00,,52.38916779,6.40361404,urn:ogc:def:crs:EPSG:4258,7,m,http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/rural,
STA-NL00818,STA-NL00818,NL.RIVM.AQ,,818,Barsbeek-De Veenen,Steenwijkerland,NL00818,1986-11-24 00:00:00+01:00,,52.65500259,6.01806974,urn:ogc:def:crs:EPSG:4258,1,m,http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/rural,
STA-NL00913,STA-NL00913,NL.RIVM.AQ,,913,Sappemeer-Borgercompagnie,,NL00913,1976-04-02 00:00:00+01:00,2002-04-02 00:00:00+01:00,53.144722,6.799458,urn:ogc:def:crs:EPSG:4258,1,m,http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/rural,
STA-NL00918,STA-NL00918,NL.RIVM.AQ,,918,Balk-Trophornsterweg,,NL00918,1976-04-02 00:00:00+01:00,,52.91691589,5.57349157,urn:ogc:def:crs:EPSG:4258,1,m,http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/rural,
STA-NL00928,STA-NL00928,NL.RIVM.AQ,,928,Witteveen-Talmaweg,,NL00928,1978-01-01 00:00:00+01:00,2000-02-08 00:00:00+01:00,52.813611,6.669725,urn:ogc:def:crs:EPSG:4258,17,m,http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/rural,
STA-NL00934,STA-NL00934,NL.RIVM.AQ,,934,Kollumerwaard-Hooge Zuidwal,Kollumerland en Nieuwkruisland,NL00934,1989-12-21 00:00:00+01:00,,53.33166504,6.27750874,urn:ogc:def:crs:EPSG:4258,1,m,http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/rural,
STA-NL00131,STA-NL00131,NL.RIVM.AQ,,131,Vredepeel-Vredeweg,Venray,NL00131,1984-04-01 00:00:00+01:00,,51.54111099,5.85361385,urn:ogc:def:crs:EPSG:4258,28,m,http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/rural,
STA-NL00133,STA-NL00133,NL.RIVM.AQ,,133,Wijnandsrade-Opfergeltstraat,Nuth,NL00133,1986-04-01 00:00:00+01:00,,50.9030571,5.882236,urn:ogc:def:crs:EPSG:4258,96,m,http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/suburban,
STA-NL00134,STA-NL00134,NL.RIVM.AQ,,134,Beek-Vliegveldweg,,NL00134,1978-01-01 00:00:00+01:00,2013-01-01 00:00:00+01:00,50.90545,5.761917,urn:ogc:def:crs:EPSG:4258,111,m,http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/rural,
STA-NL00227,STA-NL00227,NL.RIVM.AQ,,227,Budel-Toom,,NL00227,1976-01-02 00:00:00+01:00,2013-01-01 00:00:00+01:00,51.2675,5.561678,urn:ogc:def:crs:EPSG:4258,32,m,http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/rural,
STA-NL00230,STA-NL00230,NL.RIVM.AQ,,230,Biest Houtakker-Biestsestraat,Hilvarenbeek,NL00230,1984-04-01 00:00:00+01:00,,51.51944351,5.14890242,urn:ogc:def:crs:EPSG:4258,15,m,http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/rural,
STA-NL00231,STA-NL00231,NL.RIVM.AQ,,231,Gilze-Rijen-Rijksweg,,NL00231,1978-01-01 00:00:00+01:00,2013-01-01 00:00:00+01:00,51.566389,4.932792,urn:ogc:def:crs:EPSG:4258,3,m,http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/rural,
STA-NL00232,STA-NL00232,NL.RIVM.AQ,,232,Volkel-Heikantsepad,,NL00232,1986-11-18 00:00:00+01:00,2002-04-02 00:00:00+01:00,51.641667,5.662233,urn:ogc:def:crs:EPSG:4258,20,m,http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/rural,
STA-NL00234,STA-NL00234,NL.RIVM.AQ,,234,Putte-Larikslaan,,NL00234,1976-01-02 00:00:00+01:00,1999-01-01 00:00:00+01:00,51.366389,4.388336,urn:ogc:def:crs:EPSG:4258,16,m,http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/rural,
STA-NL00235,STA-NL00235,NL.RIVM.AQ,,235,Huijbergen-Vennekenstraat,Woensdrecht,NL00235,1987-01-01 00:00:00+01:00,,51.43500137,4.36028624,urn:ogc:def:crs:EPSG:4258,18,m,http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/rural,
STA-NL00236,STA-NL00236,NL.RIVM.AQ,,236,Eindhoven-Genovevalaan,Eindhoven,NL00236,1989-01-26 00:00:00+01:00,,51.46972275,5.47278357,urn:ogc:def:crs:EPSG:4258,17,m,http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/urban,
STA-NL00237,STA-NL00237,NL.RIVM.AQ,,237,Eindhoven-Noordbrabantlaan,,NL00237,1989-01-19 00:00:00+01:00,,51.44528,5.4289,urn:ogc:def:crs:EPSG:4258,18,m,http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/urban,
