dem_status;station_eoi_code;station_name;component_code;component_name;component_short_name;zone_objective_code1;zone_code1;zone_name1;zone_objective_code2;zone_code2;zone_name2;measurement_code;meas_conf_group;measurement_start_date;measurement_end_date;measurement_method_type;measurement_technique_principle;measurement_equipment;integration_time_frequency;integration_time_unit;height_sampling_point;length_sampling_line;location_sampling_point;sampling_time;sampling_time_unit;calibration_frequency;calibration_unit;calibration_method;calibration_description;body_or_programme
;NL00807;Hellendoorn-Luttenbergerweg;5;Particulate matter < 10 µm (aerosol);PM10;human;NL0100;Noord;;;;101;100;20071025;;Automatic Analyzer;Beta ray attenuation;Thermo Andersen ESM FH 62 I-R;1;hour;3;2;free air flow;1;hour;3;month;calibration filter;;EU EoI+EEA EuroAirnet
;NL00807;Hellendoorn-Luttenbergerweg;7;Ozone (air);O3;human/eco;NL0100;Noord;;;;102;101;20110303;;Automatic Analyzer;Ultraviolet (UV) photometry;Thermo model 49i O3 analyser;1;hour;4;3;free air flow;10;second;1;day;uv lamp (ozone generator);;EU EoI+EEA EuroAirnet
;NL00807;Hellendoorn-Luttenbergerweg;8;Nitrogen dioxide (air);NO2;human;NL0100;Noord;ozone;NL0100;Noord;102;101;20070222;;Automatic Analyzer;Chemiluminescence;Teledyne API 200E chemiluminescent NOx analyser;1;hour;4;3;free air flow;10;second;1;day;compressed gases;;EU EoI+EEA EuroAirnet
;NL00807;Hellendoorn-Luttenbergerweg;9;Nitrogen oxides (air);NOX;ozone;NL0100;Noord;;;;102;101;20070222;;Automatic Analyzer;Chemiluminescence;Teledyne API 200E chemiluminescent NOx analyser;1;hour;4;3;free air flow;10;second;1;day;compressed gases;;
;NL00807;Hellendoorn-Luttenbergerweg;12;Lead (aerosol);Pb;human;NL0100;Noord;;;;100;100;20080910;20130101;Active Sampler;Inductive coupled plasma mass spectrometryscopy (ICP-MS);SVEN LECKEL SEQ47/50;1;day;3;2;free air flow;1;natural day;1;month;standard solution;;
;NL00807;Hellendoorn-Luttenbergerweg;14;Cadmium (aerosol);Cd;;;;;;;100;100;20080910;20130101;Active Sampler;Inductive coupled plasma mass spectrometryscopy (ICP-MS);SVEN LECKEL SEQ47/50;1;day;3;2;free air flow;1;natural day;1;month;standard solution;;
;NL00807;Hellendoorn-Luttenbergerweg;15;Nickel (aerosol);Ni;;;;;;;100;100;20080910;20130101;Active Sampler;Inductive coupled plasma mass spectrometryscopy (ICP-MS);SVEN LECKEL SEQ47/50;1;day;3;2;free air flow;1;natural day;1;month;standard solution;;
;NL00807;Hellendoorn-Luttenbergerweg;18;Arsenic (aerosol);As;;;;;;;100;100;20080910;20130101;Active Sampler;Inductive coupled plasma mass spectrometryscopy (ICP-MS);SVEN LECKEL SEQ47/50;1;day;3;2;free air flow;1;natural day;1;month;standard solution;;
;NL00807;Hellendoorn-Luttenbergerweg;38;Nitrogen monoxide (air);NO;;;;;;;102;101;20070222;;Automatic Analyzer;Chemiluminescence;Teledyne API 200E chemiluminescent NOx analyser;1;hour;4;3;free air flow;10;second;1;day;compressed gases;;EU EoI+EEA EuroAirnet
;NL00807;Hellendoorn-Luttenbergerweg;63;Zinc (aerosol);Zn;;;;;;;100;100;20080910;20130101;Active Sampler;Inductive coupled plasma mass spectrometryscopy (ICP-MS);SVEN LECKEL SEQ47/50;1;day;3;2;free air flow;1;natural day;1;month;standard solution;;
;NL00807;Hellendoorn-Luttenbergerweg;629;calcium (aerosol);Ca++;;;;;;;100;100;20080910;20130101;Active Sampler;Inductive coupled plasma mass spectrometryscopy (ICP-MS);SVEN LECKEL SEQ47/50;1;day;3;2;free air flow;1;natural day;1;month;standard solution;;
;NL00807;Hellendoorn-Luttenbergerweg;659;magnesium (aerosol);Mg++;;;;;;;100;100;20080101;20130101;Active Sampler;Inductive coupled plasma mass spectrometryscopy (ICP-MS);SVEN LECKEL SEQ47/50;1;day;3;2;free air flow;1;natural day;1;month;standard solution;;
;NL00807;Hellendoorn-Luttenbergerweg;668;sodium (aerosol);Na+;;;;;;;100;100;20080101;20130101;Active Sampler;Inductive coupled plasma mass spectrometryscopy (ICP-MS);SVEN LECKEL SEQ47/50;1;day;3;2;free air flow;1;natural day;1;month;standard solution;;
;NL00818;Barsbeek-De Veenen;5;Particulate matter < 10 µm (aerosol);PM10;human;NL0100;Noord;;;;101;100;20070525;;Automatic Analyzer;Beta ray attenuation;Thermo Andersen ESM FH 62 I-R;1;hour;3;2;free air flow;1;hour;3;month;calibration filter;;EU EoI+EEA EuroAirnet
;NL00818;Barsbeek-De Veenen;7;Ozone (air);O3;human/eco;NL0100;Noord;;;;101;100;20110303;;Automatic Analyzer;Ultraviolet (UV) photometry;Thermo model 49i O3 analyser;1;hour;4;3;free air flow;10;second;1;day;uv lamp (ozone generator);;EU EoI+EEA EuroAirnet
;NL00818;Barsbeek-De Veenen;8;Nitrogen dioxide (air);NO2;human;NL0100;Noord;ozone;NL0100;Noord;101;100;20070605;;Automatic Analyzer;Chemiluminescence;Teledyne API 200E chemiluminescent NOx analyser;1;hour;4;3;free air flow;10;second;1;day;compressed gases;;EU EoI+EEA EuroAirnet
;NL00818;Barsbeek-De Veenen;9;Nitrogen oxides (air);NOX;ozone;NL0100;Noord;;;;101;100;20070605;;Automatic Analyzer;Chemiluminescence;Teledyne API 200E chemiluminescent NOx analyser;1;hour;4;3;free air flow;10;second;1;day;compressed gases;;
;NL00818;Barsbeek-De Veenen;38;Nitrogen monoxide (air);NO;;;;;;;101;100;20070605;;Automatic Analyzer;Chemiluminescence;Teledyne API 200E chemiluminescent NOx analyser;1;hour;4;3;free air flow;10;second;1;day;compressed gases;;EU EoI+EEA EuroAirnet
;NL00918;Balk-Trophornsterweg;5;Particulate matter < 10 µm (aerosol);PM10;human;NL0100;Noord;;;;101;100;20071024;;Automatic Analyzer;Beta ray attenuation;Thermo Andersen ESM FH 62 I-R;1;hour;3;2;free air flow;1;hour;3;month;calibration filter;;EU EoI+EEA EuroAirnet
;NL00918;Balk-Trophornsterweg;7;Ozone (air);O3;human/eco;NL0100;Noord;;;;102;101;20110307;;Automatic Analyzer;Ultraviolet (UV) photometry;Thermo model 49i O3 analyser;1;hour;4;3;free air flow;10;second;1;day;uv lamp (ozone generator);;EU EoI+EEA EuroAirnet
;NL00918;Balk-Trophornsterweg;8;Nitrogen dioxide (air);NO2;human;NL0100;Noord;ozone;NL0100;Noord;102;101;20070327;;Automatic Analyzer;Chemiluminescence;Teledyne API 200E chemiluminescent NOx analyser;1;hour;4;3;free air flow;10;second;1;day;compressed gases;;EU EoI+EEA EuroAirnet
;NL00918;Balk-Trophornsterweg;9;Nitrogen oxides (air);NOX;ozone;NL0100;Noord;;;;102;101;20070327;;Automatic Analyzer;Chemiluminescence;Teledyne API 200E chemiluminescent NOx analyser;1;hour;4;3;free air flow;10;second;1;day;compressed gases;;
;NL00918;Balk-Trophornsterweg;38;Nitrogen monoxide (air);NO;;;;;;;102;101;20070327;;Automatic Analyzer;Chemiluminescence;Teledyne API 200E chemiluminescent NOx analyser;1;hour;4;3;free air flow;10;second;1;day;compressed gases;;EU EoI+EEA EuroAirnet
;NL00934;Kollumerwaard-Hooge Zuidwal;1;Sulphur dioxide (air);SO2;eco;NL0100;Noord;human;NL0100;Noord;101;101;19891221;;Automatic Analyzer;UV fluorescence;Thermo model 43w SO2 analyser;1;hour;4;3;free air flow;10;second;7;day;compressed gases;;EU EoI+EEA EuroAirnet+EMEP
;NL00934;Kollumerwaard-Hooge Zuidwal;5;Particulate matter < 10 µm (aerosol);PM10;human;NL0100;Noord;;;;100;100;20030403;;Automatic Analyzer;Beta ray attenuation;Thermo Andersen ESM FH 62 I-R;1;hour;3;2;free air flow;1;hour;3;month;calibration filter;;EU EoI+EEA EuroAirnet
