change;station_eoi_code;component_code;measurement_code;compliance_type;zone_code;pt_pollutant;demoEq;demoEq_link;docMethod_WSS;docMethod_NS
;NL00002;8;101;ENV;NL0210;NO2-H;;;;
;NL00002;9;101;MON; ; ;;;;
;NL00002;38;101;;;;;;;
;NL00003;7;100;ENV;NL0210;O3-H;;;;
;NL00003;7;100;ENV;NL0210;O3-V;;;;
;NL00003;8;101;ENV;NL0210;NO2-H;;;;
;NL00003;8;101;MON; ; ;;;;
;NL00003;9;101;MON; ; ;;;;
;NL00003;38;101;;;;;;;
;NL00007;5;100;ENV;NL0210;PM10-H;Equivalentie van de Met-One BAM 1020 PM10 en PM2.5.pdf;www.luchtmetingen.amsterdam.nl;;
;NL00007;8;101;ENV;NL0210;NO2-H;;;;
;NL00007;9;101;MON; ; ;;;;
;NL00007;10;100;ENV;NL0210;CO-H;;;;
;NL00007;38;101;;;;;;;
;NL00007;6001;100;ENV;NL0210;PM2.5-H;Equivalentie van de Met-One BAM 1020 PM10 en PM2.5.pdf;www.luchtmetingen.amsterdam.nl;;
;NL00012;5;100;ENV;NL0210;PM10-H;Equivalentie van de Met-One BAM 1020 PM10 en PM2.5.pdf;www.luchtmetingen.amsterdam.nl;;
;NL00012;7;100;ENV;NL0210;O3-H;;;;
;NL00012;8;101;ENV;NL0210;NO2-H;;;;
;NL00012;8;101;MON; ; ;;;;
;NL00012;9;101;MON; ; ;;;;
;NL00012;10;100;ENV;NL0210;CO-H;;;;
;NL00012;38;101;;;;;;;
;NL00012;6001;100;ENV;NL0210;PM2.5-H;Equivalentie van de Met-One BAM 1020 PM10 en PM2.5.pdf;www.luchtmetingen.amsterdam.nl;;
;NL00014;5;101;ENV;NL0210;PM10-H;Equivalentie van de Met-One BAM 1020 PM10 en PM2.5.pdf;www.luchtmetingen.amsterdam.nl;;
;NL00014;7;100;ENV;NL0210;O3-H;;;;
;NL00014;8;100;ENV;NL0210;NO2-H;;;;
;NL00014;8;100;MON; ; ;;;;
;NL00014;9;100;MON; ; ;;;;
;NL00014;10;100;ENV;NL0210;CO-H;;;;
;NL00014;38;100;;;;;;;
;NL00014;6001;101;AEI; ; ;;;;
;NL00014;6001;101;ENV;NL0210;PM2.5-H;Equivalentie van de Met-One BAM 1020 PM10 en PM2.5.pdf;www.luchtmetingen.amsterdam.nl;;
;NL00016;1;100;ENV;NL0210;SO2-H;;;;
;NL00016;5;100;ENV;NL0210;PM10-H;Equivalentie van de Met-One BAM 1020 PM10 en PM2.5.pdf;www.luchtmetingen.amsterdam.nl;;
;NL00016;6001;100;ENV;NL0210;PM2.5-H;Equivalentie van de Met-One BAM 1020 PM10 en PM2.5.pdf;www.luchtmetingen.amsterdam.nl;;
;NL00017;5;100;ENV;NL0210;PM10-H;Equivalentie van de Met-One BAM 1020 PM10 en PM2.5.pdf;www.luchtmetingen.amsterdam.nl;;
;NL00017;8;101;ENV;NL0210;NO2-H;;;;
;NL00017;9;101;MON; ; ;;;;
;NL00017;20;100;ENV;NL0210;Benzene-H;;;;
;NL00017;20;100;MON; ; ;;;;
;NL00017;21;100;MON; ; ;;;;
;NL00017;38;101;;;;;;;
;NL00017;431;100;;;;;;;
;NL00017;464;100;MON; ; ;;;;
;NL00017;482;100;;;;;;;
;NL00017;6001;100;ENV;NL0210;PM2.5-H;Equivalentie van de Met-One BAM 1020 PM10 en PM2.5.pdf;www.luchtmetingen.amsterdam.nl;;
;NL00019;8;101;ENV;NL0210;NO2-H;;;;
;NL00019;9;101;MON; ; ;;;;
;NL00019;38;101;;;;;;;
;NL00020;5;100;ENV;NL0210;PM10-H;Equivalentie van de Met-One BAM 1020 PM10 en PM2.5.pdf;www.luchtmetingen.amsterdam.nl;;
;NL00020;8;101;ENV;NL0210;NO2-H;;;;
;NL00020;9;101;MON; ; ;;;;
;NL00020;38;101;;;;;;;
;NL00020;6001;100;ENV;NL0210;PM2.5-H;;;;
;NL00021;8;101;ENV;NL0210;NO2-H;;;;
;NL00021;9;101;MON; ; ;;;;
;NL00021;38;101;;;;;;;
;NL00022;8;101;ENV;NL0210;NO2-H;;;;
;NL00022;9;101;MON; ; ;;;;
;NL00022;38;101;;;;;;;
;NL00107;7;102;ENV;NL0300;O3-H;;;;
;NL00107;7;102;ENV;NL0300;O3-V;;;;
;NL00107;8;102;ENV;NL0300;NO2-H;;;;
;NL00107;8;102;MON; ; ;;;;
;NL00107;9;102;MON; ; ;;;;
;NL00107;38;102;;;;;;;
;NL00131;5;101;ENV;NL0300;PM10-H;RIVM report 680708002 PM10 Equivalence study 2006.pdf;http://www.rivm.nl;;
;NL00131;6;112;;;;;;;
;NL00131;7;112;ENV;NL0300;O3-H;;;;
;NL00131;7;112;ENV;NL0300;O3-V;;;;
;NL00131;8;112;ENV;NL0300;NO2-H;;;;
;NL00131;8;112;MON; ; ;;;;
;NL00131;9;102;MON; ; ;;;;
;NL00131;12;101;;;;;;;
;NL00131;14;101;ENV;NL0300;Cd-H;;;;
;NL00131;15;101;ENV;NL0300;Ni-H;;;;
;NL00131;18;101;ENV;NL0300;As-H;;;;
;NL00131;35;100;;;;;;;
;NL00131;36;101;;;;;;;
;NL00131;37;101;;;;;;;
;NL00131;38;112;;;;;;;
;NL00131;45;101;;;;;;;
;NL00131;46;101;;;;;;;
;NL00131;47;101;;;;;;;
;NL00131;63;101;;;;;;;
;NL00131;629;101;;;;;;;
;NL00131;631;101;;;;;;;
;NL00131;659;100;;;;;;;
;NL00131;668;100;;;;;;;
;NL00131;728;100;;;;;;;
;NL00131;753;100;;;;;;;
;NL00131;2012;100;;;;;;;
;NL00131;2014;100;;;;;;;
;NL00131;2015;100;;;;;;;
;NL00131;2016;100;;;;;;;
;NL00131;2018;100;;;;;;;
;NL00131;2063;100;;;;;;;
;NL00131;2064;100;;;;;;;
;NL00131;2065;100;;;;;;;
;NL00131;2073;100;;;;;;;
;NL00131;6001;101;ENV;NL0300;PM2.5-H;;;;
;NL00133;1;101;ENV;NL0320;SO2-H;;;;
;NL00133;5;101;ENV;NL0320;PM10-H;RIVM report 680708002 PM10 Equivalence study 2006.pdf;http://www.rivm.nl;;
;NL00133;7;112;ENV;NL0320;O3-H;;;;
;NL00133;7;112;ENV;NL0320;O3-V;;;;
;NL00133;8;102;ENV;NL0320;NO2-H;;;;
;NL00133;8;102;MON; ; ;;;;
;NL00133;9;102;MON; ; ;;;;
;NL00133;38;102;;;;;;;
;NL00134;36;101;;;;;;;
;NL00134;37;102;;;;;;;
;NL00136;5;101;ENV;NL0320;PM10-H;RIVM report 680708002 PM10 Equivalence study 2006.pdf;http://www.rivm.nl;;
;NL00136;8;101;ENV;NL0320;NO2-H;;;;
;NL00136;9;101;MON; ; ;;;;
;NL00136;38;101;;;;;;;
;NL00136;6001;100;ENV;NL0320;PM2.5-H;;;;
;NL00137;5;101;ENV;NL0320;PM10-H;RIVM report 680708002 PM10 Equivalence study 2006.pdf;http://www.rivm.nl;;
;NL00137;7;101;ENV;NL0320;O3-H;;;;
;NL00137;8;101;ENV;NL0320;NO2-H;;;;
;NL00137;8;101;MON; ; ;;;;
;NL00137;9;101;MON; ; ;;;;
;NL00137;38;101;;;;;;;
;NL00137;6001;101;AEI; ; ;;;;
;NL00137;6001;101;ENV;NL0320;PM2.5-H;;;;
;NL00138;5;100;ENV;NL0320;PM10-H;RIVM report 680708002 PM10 Equivalence study 2006.pdf;http://www.rivm.nl;;
;NL00138;7;100;ENV;NL0320;O3-H;;;;
;NL00138;8;100;ENV;NL0320;NO2-H;;;;
;NL00138;8;100;MON;;;;;;
;NL00138;9;100;MON;;;;;;
;NL00138;38;100;;;;;;;
;NL00138;6001;100;AEI;;;;;;
;NL00138;6001;100;ENV;NL0320;PM2.5-H;;;;
;NL00227;7;102;ENV;NL0300;O3-H;;;;
;NL00227;7;102;ENV;NL0300;O3-V;;;;
;NL00227;8;102;ENV;NL0300;NO2-H;;;;
;NL00227;8;102;MON; ; ;;;;
;NL00227;9;102;MON; ; ;;;;
;NL00227;38;102;;;;;;;
;NL00230;5;101;ENV;NL0300;PM10-H;RIVM report 680708002 PM10 Equivalence study 2006.pdf;http://www.rivm.nl;;
;NL00230;7;102;ENV;NL0300;O3-H;;;;
;NL00230;7;102;ENV;NL0300;O3-V;;;;
;NL00230;8;102;ENV;NL0300;NO2-H;;;;
;NL00230;8;102;MON; ; ;;;;
;NL00230;9;102;MON; ; ;;;;
;NL00230;36;100;;;;;;;
;NL00230;37;100;;;;;;;
;NL00230;38;102;;;;;;;
;NL00230;6001;101;ENV;NL0300;PM2.5-H;;;;
;NL00231;36;101;;;;;;;
;NL00231;37;101;;;;;;;
;NL00235;5;100;ENV;NL0300;PM10-H;RIVM report 680708002 PM10 Equivalence study 2006.pdf;http://www.rivm.nl;;
;NL00235;7;112;ENV;NL0300;O3-H;;;;
;NL00235;7;112;ENV;NL0300;O3-V;;;;
;NL00235;8;102;ENV;NL0300;NO2-H;;;;
;NL00235;8;102;MON; ; ;;;;
;NL00235;9;102;MON; ; ;;;;
;NL00235;35;100;;;;;;;
;NL00235;38;102;;;;;;;
;NL00235;45;101;;;;;;;
;NL00235;46;101;;;;;;;
;NL00235;47;101;;;;;;;
;NL00235;622;100;;;;;;;
;NL00235;631;101;;;;;;;
;NL00235;4406;100;;;;;;;
;NL00235;5029;100;ENV;NL0300;BaP-H;;;;
;NL00235;5029;100;MON; ; ;;;;
;NL00235;5380;100;;;;;;;
;NL00235;5419;100;MON; ; ;;;;
;NL00235;5610;100;MON; ; ;;;;
;NL00235;5655;100;MON; ; ;;;;
;NL00236;5;101;ENV;NL0310;PM10-H;RIVM report 680708002 PM10 Equivalence study 2006.pdf;http://www.rivm.nl;;
;NL00236;7;102;ENV;NL0310;O3-H;;;;
;NL00236;8;102;ENV;NL0310;NO2-H;;;;
;NL00236;8;102;MON; ; ;;;;
;NL00236;9;102;MON; ; ;;;;
;NL00236;38;102;;;;;;;
;NL00237;5;101;ENV;NL0310;PM10-H;RIVM report 680708002 PM10 Equivalence study 2006.pdf;http://www.rivm.nl;;
;NL00237;8;102;ENV;NL0310;NO2-H;;;;
;NL00237;9;102;MON; ; ;;;;
;NL00237;38;102;;;;;;;
;NL00240;5;101;ENV;NL0300;PM10-H;RIVM report 680708002 PM10 Equivalence study 2006.pdf;http://www.rivm.nl;;
;NL00240;6;100;;;;;;;
;NL00240;8;100;ENV;NL0300;NO2-H;;;;
;NL00240;8;100;MON;;;;;;
;NL00240;9;100;MON;;;;;;
;NL00240;38;100;;;;;;;
;NL00240;6001;100;ENV;NL0300;PM2.5-H;;;;
;NL00241;5;101;ENV;NL0300;PM10-H;RIVM report 680708002 PM10 Equivalence study 2006.pdf;http://www.rivm.nl;;
;NL00241;6;100;;;;;;;
;NL00241;7;101;ENV;NL0300;O3-H;;;;
;NL00241;7;101;ENV;NL0300;O3-V;;;;
;NL00241;8;101;ENV;NL0300;NO2-H;;;;
;NL00241;8;101;MON; ; ;;;;
;NL00241;9;101;MON; ; ;;;;
;NL00241;38;101;;;;;;;
;NL00241;6001;101;AEI; ; ;;;;
;NL00241;6001;101;ENV;NL0300;PM2.5-H;;;;
;NL00244;5;100;ENV;NL0300;PM10-H;RIVM report 680708002 PM10 Equivalence study 2006.pdf;http://www.rivm.nl;;
;NL00244;35;100;;;;;;;
;NL00245;8;100;ENV;NL0300;NO2-H;;;;
;NL00245;9;100;MON; ; ;;;;
;NL00245;38;100;;;;;;;
;NL00246;5;100;ENV;NL0300;PM10-H;RIVM report 680708002 PM10 Equivalence study 2006.pdf;http://www.rivm.nl;;
;NL00246;8;100;ENV;NL0300;NO2-H;;;;
;NL00246;9;100;MON; ; ;;;;
;NL00246;38;100;;;;;;;
