"URI","Label","Definition","Notation"
"http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1","Sulphur dioxide (air)","SO2","1"
"http://dd.eionet.europa.eu/vocabulary/aq/pollutant/3","Strong acidity (air)","SA","3"
"http://dd.eionet.europa.eu/vocabulary/aq/pollutant/4","Total suspended particulates (aerosol)","SPM","4"
"http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","Particulate matter < 10 µm (aerosol)","PM10","5"
"http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6","Black smoke (air)","BS","6"
"http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7","Ozone (air)","O3","7"
"http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8","Nitrogen dioxide (air)","NO2","8"
"http://dd.eionet.europa.eu/vocabulary/aq/pollutant/9","Nitrogen oxides (air)","NOX","9"
"http://dd.eionet.europa.eu/vocabulary/aq/pollutant/10","Carbon monoxide (air)","CO","10"
"http://dd.eionet.europa.eu/vocabulary/aq/pollutant/11","Hydrogen sulphide (air)","H2S","11"
"http://dd.eionet.europa.eu/vocabulary/aq/pollutant/12","Lead (aerosol)","Pb","12"
"http://dd.eionet.europa.eu/vocabulary/aq/pollutant/13","Mercury (aerosol)","Hg","13"
"http://dd.eionet.europa.eu/vocabulary/aq/pollutant/14","Cadmium (aerosol)","Cd","14"
"http://dd.eionet.europa.eu/vocabulary/aq/pollutant/15","Nickel (aerosol)","Ni","15"
"http://dd.eionet.europa.eu/vocabulary/aq/pollutant/16","Chromium (aerosol)","Cr","16"
"http://dd.eionet.europa.eu/vocabulary/aq/pollutant/17","Manganese (aerosol)","Mn","17"
"http://dd.eionet.europa.eu/vocabulary/aq/pollutant/18","Arsenic (aerosol)","As","18"
"http://dd.eionet.europa.eu/vocabulary/aq/pollutant/19","Carbon disulphide (air)","CS2","19"
"http://dd.eionet.europa.eu/vocabulary/aq/pollutant/20","Benzene (air)","C6H6","20"
"http://dd.eionet.europa.eu/vocabulary/aq/pollutant/21","Toluene (air)","C6H5-CH3","21"
"http://dd.eionet.europa.eu/vocabulary/aq/pollutant/22","Styrene (air)","C6H5-CH=CH2","22"
"http://dd.eionet.europa.eu/vocabulary/aq/pollutant/23","Acrylonitrile (air)","CH2=CH-CN","23"
"http://dd.eionet.europa.eu/vocabulary/aq/pollutant/24","1.3 Butadiene (air)","CH2=CH-CH=CH2","24"
"http://dd.eionet.europa.eu/vocabulary/aq/pollutant/25","Formaldehyde (Methanal) (air)","HCHO","25"
"http://dd.eionet.europa.eu/vocabulary/aq/pollutant/26","Trichloroethylene (air)","CHCl=CCl2","26"
"http://dd.eionet.europa.eu/vocabulary/aq/pollutant/27","Tetrachloroethylene (air)","C2Cl4","27"
"http://dd.eionet.europa.eu/vocabulary/aq/pollutant/28","Dichloromethane (air)","CH2Cl2","28"
"http://dd.eionet.europa.eu/vocabulary/aq/pollutant/29","Benzo(a)pyrene (precip)","BaP","29"
"http://dd.eionet.europa.eu/vocabulary/aq/pollutant/30","Polyaromatic hydrocarbons (air+aerosol)","PAH","30"
"http://dd.eionet.europa.eu/vocabulary/aq/pollutant/31","Vinyl chloride (air)","VC","31"
"http://dd.eionet.europa.eu/vocabulary/aq/pollutant/32","Total non-methane hydrocarbons (air)","THC (NM)","32"
"http://dd.eionet.europa.eu/vocabulary/aq/pollutant/33","Total volatile organic compounds (air)","T-VOC","33"
"http://dd.eionet.europa.eu/vocabulary/aq/pollutant/34","Peroxyacetyl nitrate (air)","PAN","34"
"http://dd.eionet.europa.eu/vocabulary/aq/pollutant/35","Ammonia (air)","NH3","35"
"http://dd.eionet.europa.eu/vocabulary/aq/pollutant/36","Wet nitrogen deposition (flux)","N-DEP","36"
"http://dd.eionet.europa.eu/vocabulary/aq/pollutant/37","Wet sulphur deposition (flux)","S-DEP","37"
"http://dd.eionet.europa.eu/vocabulary/aq/pollutant/38","Nitrogen monoxide (air)","NO","38"
"http://dd.eionet.europa.eu/vocabulary/aq/pollutant/39","Hydrogen chloride (air)","HCl","39"
"http://dd.eionet.europa.eu/vocabulary/aq/pollutant/40","Hydrogen fluoride (air)","HF","40"
"http://dd.eionet.europa.eu/vocabulary/aq/pollutant/41","Methane (air)","CH4","41"
"http://dd.eionet.europa.eu/vocabulary/aq/pollutant/45","Particulate ammonium (aerosol)","NH4","45"
"http://dd.eionet.europa.eu/vocabulary/aq/pollutant/46","Particulate nitrate (aerosol)","NO3","46"
"http://dd.eionet.europa.eu/vocabulary/aq/pollutant/47","Particulate sulphate (aerosol)","SO4 (H2SO4 aerosols) (SO4--)","47"
"http://dd.eionet.europa.eu/vocabulary/aq/pollutant/48","Selenium (aerosol)","Se","48"
"http://dd.eionet.europa.eu/vocabulary/aq/pollutant/49","Vanadium (aerosol)","Vanadium","49"
"http://dd.eionet.europa.eu/vocabulary/aq/pollutant/50","Gaseous nitric acid (air)","HNO3","50"
"http://dd.eionet.europa.eu/vocabulary/aq/pollutant/51","HC C2-C6(excl. AROM. & CHLH) (air+aerosol)","HC C2-C6(excl. AROM. & CHLH)","51"
"http://dd.eionet.europa.eu/vocabulary/aq/pollutant/52","HC > C6 (excl. AROM. & CHLH) (air+aerosol)","HC > C6 (excl. AROM. & CHLH)","52"
